region,permit_number,action,requester,cause,cause_detail,place,street,street_number,block,parcel,from_date,to_date,approved_by,species,number_of_trees,tree_action,notes
ג. מערבי - כרמל,5419,כריתה,נאסר ניקולה,דילול רגיל,מכרז 2944/17,"יערות קק""ל",,,,,2020-11-02 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,,,,
ג. מערבי - כרמל,5419,כריתה,נאסר ניקולה,דילול רגיל,מכרז 2944/17,"יערות קק""ל",,,,,2020-11-02 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,,,,
ג. מערבי - כרמל,5431,דילול,בזבז מסעוד,פינוי עץ מיידי,עצי חורש צמוד למטעים של גולן מאבן מנחם,"יערות קק""ל",,,,,2020-11-08 00:00:00.000000,2021-04-08 00:00:00.000000,שלי בן ישי,,,,
ג. מערבי - כרמל,5483,כריתה,דור אלון אנרגיה בישראל,בניה,הקמת תחנת דלק,יקנעם,התנופה,2,12779,34,2020-12-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,אקל.המקור,8,,
ג. מערבי - כרמל,5483,כריתה,דור אלון אנרגיה בישראל,בניה,הקמת תחנת דלק,יקנעם,התנופה,2,12779,34,2020-12-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,לגרסטרמיה הודית,1,,
ג. מערבי - כרמל,5483,כריתה,דור אלון אנרגיה בישראל,בניה,הקמת תחנת דלק,יקנעם,התנופה,2,12779,34,2020-12-20 00:00:00.000000,2021-08-31 00:00:00.000000,שלי בן ישי,תמר מצוי,1,,דקל
ג. מערבי - כרמל,5484,כריתה,כפר הנוער כפר חסידים,בטיחות,,כפר חסידים,כפר הנוער הדתי,,11128,16,2020-12-06 00:00:00.000000,2021-04-08 00:00:00.000000,שלי בן ישי,אורן ירושלים,9,,
ג. מערבי - כרמל,5484,כריתה,כפר הנוער כפר חסידים,בטיחות,,כפר חסידים,כפר הנוער הדתי,,11128,16,2020-12-06 00:00:00.000000,2021-04-08 00:00:00.000000,שלי בן ישי,אלון תבור,1,,יבש
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,אורן ירושלים,1572,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,אורן קפריסאי,483,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,ברוש מצוי,615,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,זית אירופי,170,העתקה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,חרוב מצוי,430,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,לא ידוע,10,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,מכנף נאה,4,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,פיקוס בינימינה,8,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,פיקוס השדרות,1,כריתה,
ג. מערבי - כרמל,5502,כריתה והעתקה,מיכאל רוזנפלד,בניה,,טמרה,טמרה מזרח,,"18559,18560,18563,18588,18589",חלקות שונות,2020-12-24 00:00:00.000000,2021-12-31 00:00:00.000000,שלי בן ישי,קזוארינה,1,כריתה,
ג. מערבי - כרמל,5508,העתקה,אגרא יקנעם אגודה,בניה,"עפ""י הודעת רמ""י",יקנעם,אזור תעשיה,,11496,5-16,2021-01-03 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,זית אירופי,410,,
ג. מערבי - כרמל,5527,דילול וגיזום,יוסף אליאס ניקולא,דילול רגיל,טיפול יערני - תיחור 5 מכרז 8986/19,"יערות קק""ל",,,,,2021-01-03 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,,,,
ג. מערבי - כרמל,5527,דילול וגיזום,יוסף אליאס ניקולא,דילול רגיל,טיפול יערני - תיחור 5 מכרז 8986/19,"יערות קק""ל",,,,,2021-01-03 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,,,,
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,אזדרכת מצויה,1,כריתה,
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,אלה אטלנטית,1,העתקה,
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,אלה ארץ-ישראלית,1,העתקה,
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,אלון מצוי,1,העתקה,2 עצי אלון הועברו לשימור
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,זית אירופי,172,העתקה,
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,חרוב מצוי,4,כריתה,
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,לבנה רפואי,6,כריתה,
ג. מערבי - כרמל,5534,כריתה והעתקה,"חב' נתיבי ישראל ע""י יעל רוזנפלד",בניה,,כבישים,כביש פקיעין-סמיע,,"19077, 19080, 19078","1,6,7,49,52,53,56,61,62,64-67,107,110,111,114,115",2021-01-19 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,פיקוס התאנה,3,כריתה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,אורן ירושלים,3,כריתה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,אזדרכת מצויה,1,כריתה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,אלביציה ורודה (יוליבריסין),1,כריתה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,אקל.המקור,1,כריתה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,ברוש מצוי,1,כריתה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,מילה ירוקת-עד,2,כריתה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,מילה ירוקת-עד,2,העתקה,
ג. מערבי - כרמל,5540,כריתה והעתקה,"שטראוס אחזקות בע""מ",בניה,,גילון,א.ת. בר לב- בניין שקד,,18508,24,2021-01-24 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,שקד מצוי,1,כריתה,
ג. מערבי - כרמל,5543,כריתה,מאיר בן סירא,בטיחות,,ניר עציון,"לידמלון ניר עציון,בישוב ומחוץ לגדר הישוב",,,,2021-02-07 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,אורן ירושלים,20,,
ג. מערבי - כרמל,5543,כריתה,מאיר בן סירא,בטיחות,,ניר עציון,"לידמלון ניר עציון,בישוב ומחוץ לגדר הישוב",,,,2021-02-07 00:00:00.000000,2021-03-31 00:00:00.000000,שלי בן ישי,אורן ירושלים,5,,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,אלמוגן רחב-עלים,1,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,אקל.המקור,4,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,ברוש מצוי,2,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,ושינגטוניה חסונה,8,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,כמרופס נמוך,1,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,מילה ירוקת-עד,3,העתקה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,מילה סורית,1,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,פלפלון דמוי-אלה,1,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,צפצפה מכסיפה,2,כריתה,
ג. מערבי - כרמל,5547,כריתה והעתקה,"א. יתד מהנדסים בע""מ",בניה,מובל ניקוז,נהריה,מובל ניקוז סער,,"18209,19591","288 , 20,23 ,1",2021-02-14 00:00:00.000000,2021-04-29 00:00:00.000000,שלי בן ישי,תמר מצוי,4,כריתה,
ג. מערבי - כרמל,5548,כריתה,"אבו חסאן יוסף ובניו בע""מ",בניה,הרחבת מצובה,מצובה,"הרחבה 31 יח""ד",,19014,10,2021-02-16 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,אורן ירושלים,93,,
ג. מערבי - כרמל,5548,כריתה,"אבו חסאן יוסף ובניו בע""מ",בניה,הרחבת מצובה,מצובה,"הרחבה 31 יח""ד",,19014,10,2021-02-16 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,ברוש מצוי,9,,
ג. מערבי - כרמל,5548,כריתה,"אבו חסאן יוסף ובניו בע""מ",בניה,הרחבת מצובה,מצובה,"הרחבה 31 יח""ד",,19014,10,2021-02-16 00:00:00.000000,2021-05-31 00:00:00.000000,שלי בן ישי,חורש טבעי,15,,"אלון, כליל החורש, חרוב"
